,name,formatted_address,rating,user_ratings_total
0,Gio Culinary Studio,"22 S Main St, Voorheesville, NY 12186, United States",4.8,34
1,Phantom Chef LLC,"49 Washington Ave, Endicott, NY 13850, United States",4.8,17
2,Cozymeal Cooking Classes NYC,"136 Madison Ave, New York, NY 10016, United States",4.9,188
3,CocuSocial,"69 Charlton St, New York, NY 10014, United States",4.9,633
4,Home Cooking New York,"158 Grand St, New York, NY 10013, United States",4.6,43
5,Montclair Culinary Academy,"550 Valley Rd, Montclair, NJ 07043, United States",4.7,38
6,The Cook's Studio,"156 A Engineers Dr, Hicksville, NY 11801, United States",5.0,73
7,Taste Buds Kitchen,"109 W 27th St, New York, NY 10001, United States",4.8,667
8,New York Kitchen,"800 S Main St, Canandaigua, NY 14424, United States",4.2,465
9,Hudson Table Hoboken,"1403 Clinton St, Hoboken, NJ 07030, United States",4.6,35
10,Cozymeal Cooking Classes,"325 Chestnut St 41 Suite 800, Philadelphia, PA 19106, United States",4.9,66
11,Vince's Gourmet Imports,"440 S Main St, North Syracuse, NY 13212, United States",4.8,532
12,Vintage Kitchen,"317 Linden St, Scranton, PA 18503, United States",4.9,9
13,Healthy Italia - La Buona Cucina,"55 Main St, Madison, NJ 07940, United States",4.9,51
14,Spoon & Whisk,"1675 Route 9 #108, Clifton Park, NY 12065, United States",4.8,82
15,"Young Chefs Academy - Forest Hills, NY","116-10 Queens Blvd, Queens, NY 11375, United States",4.8,50
16,Taste Buds Kitchen,"331 Benner Pike, State College, PA 16801, United States",4.9,99
17,Cozymeal Cooking Classes,"100 Cambridge St 14th floor, Boston, MA 02114, United States",4.9,82
18,Different Drummer's Kitchen,"1475 Western Ave, Albany, NY 12203, United States",4.3,62
19,Selfup Cooking Classes,"16 Beaver St, New York, NY 10004, United States",4.9,43
